Question,Answer
王はチェスで王を奪うことができるか,No
ウォーキング・デッドはソフィアを見つけたことがありますか,YES
東京ドリフト・オア・ファスト6でハンは死んだのか,No
本と小説の違いはありますか,YES
イギリス領バージン諸島は国とみなされますか,No
サンタアナ空港はジョン・ウェインと同じですか,YES
射撃場に行くには21歳以上でなければなりませんか,No
チェスで最初に騎士を動かせますか,YES
複数の中間スイッチを使用できますか,YES
本に基づいたメールはありますか,No
NHでは隠し持ち運び許可が必要ですか？,No
アメリカで赤信号を無視して運転できますか,YES
東ティモールと東ティモールは同じものですか,YES
桜蘭高校ホスト部の次のシーズンはありますか？,No
ガリラヤ湖にはまだ魚がいますか,YES
コモンウェルスゲームのモットーはありますか,YES
カンザス州で赤信号で右折するのは合法ですか,YES
トンネルの第 4 シリーズはありますか?,No
ボブはボブという名の野良猫で死ぬのですか？,No
米国で生まれた人は自動的に国民になりますか,YES
リンサイクルに気相はありますか,No
牛は妊娠せずに乳を出すことができますか,No
ミズーリ川にはしけの往来はありますか,YES
シカゴから海まで行けますか,YES
ダン・スティーヴンスは『美女と野獣』2017で歌いましたか？,YES
上院議長は副大統領ですか,YES
映画「ハートの戦争」は実話ですか,No
ニューアーク空港に鉄道駅はありますか,YES
国防勲章は選挙戦勲章ですか,YES
ワインガムにワインが入っていたことはありますか,No
アマゾン川はアンデス山脈から始まりますか,YES
Xbox 360 ゲームは Xbox One と互換性がありますか,YES
星の数という本に基づいた映画はありますか,No
蒸気機関は他の発明につながりましたか,YES
フルーツロールアップはどれも同じ味ですか,No
第一次世界大戦に飛行機はありましたか,YES
彼はミシュランの星を焼けたのか？,YES
ストライキ中も給料はもらえますか,YES
グレイの解剖学は実際に病院で撮影されたものですか,No
ホームでワールドカップで優勝した国はありますか,YES
人は2つの異なる色の目を持っていますか,YES
桑の木には雄と雌がありますか,YES
インドのすべての州が個別の州章を持っていることは正当化されますか,YES
憲法の条文は改正できるのか,YES
ウィスクの洗濯洗剤はまだ市販されていますか,No
スズキSX4にはタイミングベルトが付いていますか？,No
ジェド・ローリーはレッドソックスでプレーしましたか,YES
乳牛は出産せずに牛乳を出しますか,No
ノースカロライナ州にはハリケーンがたくさんありますか,YES
米国はEUの一部ですか,No
Gear of War 4 はエピック ゲームによって作られましたか,YES
彼らはラボラットエリートフォースのシーズン2を作っていますか？,No
Google Play Musicを使用するには料金を支払う必要がありますか,No
本の第四の壁を突破できますか,YES
4つの州が交わる場所はありますか,YES
南半球にジェット気流はありますか,YES
ガベスとガブリエル兄弟に違いはありますか,No
三段論法に 3 つ以上の前提を含めることはできますか,YES
赤血球には核があったことがありますか,YES
マシュマロフラフとマシュマロクリームは同じものですか,No
キャプテン・アメリカはコミックで復活しますか？,YES
シャチとシャチは同じものですか,YES
1947年にドジャースがワールドシリーズで優勝しましたか,No
カリフォルニアのFMLAで給料もらってますか？,YES
陸軍工兵隊を訴えられますか,YES
カナダ英語はイギリス英語と同じですか,No
酸素はシアン化物中毒の効果的な治療法ですか,YES
オスの蚊もメスの蚊も病気を媒介しますか,No
カリーム・アブドゥル・ジャバーは試合で100得点を獲得しましたか,No
ロード・オブ・ザ・リングの日はありますか,YES
現在でも許可されている非自発的奴隷制度はありますか,No
システム・オブ・ア・ダウンには歌手が2人いますか,YES
ヒースロー空港ターミナル4に地下鉄の駅はありますか,YES
ワールドカップがアメリカで開催されることはあるでしょうか,YES
ジョフリー王はゲーム・オブ・スローンズで死ぬのか,YES
個人診療所でアディソンには子供がいますか,YES
世界中が夏時間を実施していますか,No
運動誘発性喘息のようなものはありますか,YES
テネシー州で許可なく銃を所持できますか,YES
カナダに女性首相がいたでしょうか,YES
ハン・ソロとレイア姫は結婚しましたか,YES
ルーブル美術館はかつて宮殿だったのか,YES
私は4番目の2という数字はありますか？,No
石油と天然ガスは同じものですか,No
アルファベットという言葉はアルファとベータから来ていますか,YES
?100札のようなものはありますか？,No
バーガーキングにはグリルチキンサンドイッチがありますか,YES
レッツゴーピカチュウでピカチュウは進化できますか？,No
ヤンキースとメッツをワールドシリーズで戦わせる,YES
大統領はシークレットサービスによる終身保護を受けられるのか,YES
エディ・アンド・ザ・クルーザーズというバンドは本当に存在したのか,No
東海岸にタコベルはありますか,YES
マン島はイギリスの一部ですか,No
チャレンジャーディープの底に行った人はいますか？,YES
アメリカにカイスターという名前の町がありますか,YES
M6の料金は往復で支払いますか？,YES
2人の異なる父親によって双子を産むことはできますか,YES
ベビーキャロットのようなものはありますか,YES
イカの触手には吸盤が付いていますか？,YES
イングランドとウェールズの間に国境はありますか,YES
リジー・ボーデンの年代記には真実はあるのか,YES
ペプシマックスはペプシゼロと同じですか,YES
チームはスタンレーカップを守ることができるのか,No
4本の電車はボーリング場に止まりますか,YES
臍動脈は酸素を含んだ血液を受胎産物に運びますか,No
デンマークでは公共の場でお酒を飲めますか,YES
アメリカではまだフリークショーがありますか,YES
アメリカ革命の息子はいますか,YES
スーパーチャージャーはターボでも使用できますか,YES
米国にはクエーカー教徒がまだいますか,YES
フェロー諸島はEUの一部ですか,No
スカイリム スペシャル エディションにはすべての DLC が含まれていますか,YES
無法者と地獄の天使は仲が良いですか,No
グリーンランタンの続編はあるのでしょうか？,No
ミルウォーキー・ブルワーズが優勝したことがありますか,No
溶接のシールドガスとして窒素を使用できますか,YES
スーパーチャージャーとターボを付けることは可能ですか,YES
ナターシャは戦争と平和の中でピエールと結婚しますか,YES
ハンバーガーにはピクルスを入れません,YES
バルト海のクジラが見えますか,YES
カトリック教会では普通の時間ですか？,YES
鋳鉄鍋はIHコンロでも使えますか,YES
脂溶性薬物は血液脳関門を通過できるか,YES
ブラントラップにはタバコが入っていますか,YES
ショットガンを打つ前にビールをシェイクしますか,No
ブリジットは旅行パンツの姉妹関係で処女を失いましたか,YES
オオカミをペットとして飼うことは可能ですか,YES
ハーレーダビッドソンはインドに工場を持っていますか,YES
高校で基礎訓練はできますか？,YES
チェスでクイーンを2人持つことは可能ですか,YES
トゥームレイダーゲームは映画より前に発売されましたか？,YES
タバコの半箱を買ってもらえますか,No
米国には野生の馬が残っていますか,YES
インディアナ州は日曜日にアルコールを販売しない唯一の州ですか,No
シエラミストはミストツイストと同じですか,YES
スター対悪の勢力は終わったのか,No
ノーザンラインはトッテナムコートロードに止まりますか,YES
南極に行ったことがある人はいますか,YES
食塩水は塩水と同じですか,YES
NBA選手はすべての州で税金を払っていますか,No
テキサス大学はアイビーリーグの学校ですか,No
野手の選択は打率にカウントされますか,YES
ハンマースミスとシティラインはパディントンに止まりますか,YES
細胞が2つの核を持つことは可能ですか,YES
メキシコは米国の一部ですか,No
FM でラジオ 4 エクストラを入手できますか,No
竜巻ウォッチは竜巻があることを意味しますか,No
ノルウェーでは公共の場で飲酒することは合法ですか,No
Xbox 360 ゲームは Xbox One で動作しますか,YES
割れないガラスなどあるのでしょうか,YES
四つ葉のクローバーのようなものはありますか,YES
オーストラリアでは16歳はお酒を飲んでもいいですか？,No
セレナは私が恋に落ちることをパフォーマンスしたことがありますか,YES
純利益と純利益は同じものですか,YES
残り火の街の続編はありますか？,YES
ロンドン・セント・パンクラス・インターナショナルはキングス・クロスと同じですか,YES
アメリカの私とブラッド・イン・ブラッド・アウトは同じですか,No
ブレイキング・バッドのエピソードはさらに増えるだろうか,No
私書箱を返送先住所にすることはできますか,YES
返送先住所に私の名前を書かなければなりませんか,No
車のエンブレムを外すことは違法ですか,No
ユタジャズはかつてニューオーリンズにありましたか,YES
左折用の赤信号カメラはありますか,No
8月の国民の休日は法定休日ですか,YES
ホームランの場合は塁に触れなければなりませんか,YES
ウォルマートとサムズクラブは同じですか,No
早期アクセスではゲーム全体を入手できますか,No
ベストフーズマヨネーズはヘルマンズと同じですか,YES
フランチャイズタグはサラリーキャップにカウントされますか,No
南アフリカにグリーンマンバはいますか,YES
パキスタンは2018年アジアクリケット評議会（acc）を主催する,YES
Xbox One X で Xbox 360 ゲームをプレイできますか,YES
アリゾナ州で許可なく隠して持ち運べますか,YES
北アイルランドにはサッカー代表チームがありますか,YES
14歳でも運転免許を取得できますか,YES
私たちとカナダのパスポートは同じサイズですか,No
コロラド・ロッキーズがその地区で優勝したことがありますか,No
その映画は実話に基づいた真実か挑戦ですか,No
殿堂入りのスピナーは誰ですか,YES
大統領は下院議長を選びますか,No
ロバート・ラングドンはロスト・シンボルで死んだのか,No
空気と水を呼吸できる動物はいますか,YES
カナダでポットを栽培することは合法ですか,YES
海兵隊ではひげを生やしてもいいですか？,No
サウスダコタ州はあなたの根拠法に耐えていますか,YES
大統領は議会の開会を命じることができるか,YES
クリベッジのジャックに乗って出かけられますか,YES
オールド・イングリッシュ・ブルドッグにはピットブルが入っていますか,YES
バルソルとミネラルスピリットは同じものですか,YES
女性が父親の異なる双子を産むことは可能ですか,YES
キャストするにはChromecastアプリが必要ですか?,No
ディーとマックは番組で会いましたか,YES
ハリー・オズボーンは自分の父親がグリーン・ゴブリンであることを知っていましたか,YES
名誉勲章を獲得した女性はいますか,YES
誰でも不動産のタイトル検索を行うことができますか,YES
アメリカでは飲酒運転の制限はありますか,YES
ブライアン・アンダーソンはまだ醸造所で働いていますか?,YES
ヒラリー・ダフは声を上げて歌いますか,YES
英国のパスポートを持っているということは、あなたが国民であることを意味しますか,YES
油圧ポンプを油圧モーターとして使用できますか,No
シカゴに郡総合病院はありますか,No
ネットフリックスでメディチのシーズン2はありますか？,YES
la フィットネスは 24 時間フィットネスと同じですか,No
ディズニーには素晴らしい映画の乗り物がまだありますか,No
ダブルバレルの名前はハイフンでつなぐ必要がありますか,No
膝の後ろにリンパ節はありますか,YES
教育省は政府機関ですか,YES
iPad miniはiPad Mini 2と同じサイズですか,YES
これまでに最高裁判事候補者が承認されなかった人はいますか,YES
子宮頸部は子宮と同じですか,No
ワンス・アポン・ア・タイムのシーズン6はありますか？,YES
上大静脈と下大静脈は交わりますか,YES
スカイにデイブプラス1はありますか？,YES
英国ポンドはスターリングポンドと同じですか,YES
ロバート・レッドフォードはアカデミー賞を受賞したことがありますか,YES
パー5でホールインワンがあったことはありますか,YES
ジャックとカッコー時計の心臓でジャックは死ぬのですか？,YES
ニュージーランドのお金はアメリカのお金と同じですか,No
ヘルズキッチンの新シーズンはありますか？,YES
ナベロンの銃は実話ですか,No
ヤシの木とヤシの木は同じものですか,No
車を過給したりターボ過給したりすることは可能ですか,YES
ヴァンパイア・ダイアリーの中でデイモンとエレナは付き合ったことはありますか？,YES
ボラボラ島に住むことは可能ですか,YES
水を沸点以上に加熱することは可能ですか,YES
グラム粉とひよこ豆粉は同じですか,YES
ダッジダーツSXTにはターボが付いていますか？,YES
緊張の新しい季節は来るだろうか,No
米国は欧州連合に属していますか,No
アンドレア・ゲイルに生存者はいたのか,No
これまでにルーキーファイナルMVPがいただろうか,YES
米国で使用されている原子力エネルギーは何ですか,YES
夜の家シリーズは映画ですか,No
国道を走行する場合、狭い路肩を走行することは許可されていますか,YES
タイタンの怒りの後の映画はありますか,No
恐怖の逃避は逆さまになるのか,YES
カタールはワールドカップでプレーしたことがありますか,No
フィフティ・シェイズ・オブ・グレーはファンフィクションとして始まったのか,YES
青の手がかりの青は女の子ですか,YES
片手のプロサッカー選手はいますか,YES
次世代のデグラッシの前にデグラッシはありましたか,YES
猫の尻尾には骨がありますか,YES
胸への衝撃で心臓が止まることはありますか,YES
2018年7月に月食はありますか,YES
Now you see me 3 が出ますか？,YES
メイズランナーデスキュアの続編はありますか？,No
ピラミッドの底面は常に正方形ですか,No
悪魔の食べ物のケーキはチョコレートと同じですか,No
フラッシュはシーズン4に戻ってきますか？,YES
マディはすべての終わりに死ぬのか,No
太平洋と大西洋の間に線はありますか,No
ガラパゴスゾウガメを飼うことは合法ですか,No
スコットランドの 1 ポンド紙幣はまだ流通していますか,YES
チアシードとチアペットは同じですか,YES
ミルウォーキー・バックスが優勝したことがありますか,YES
ゴルフでマイナススコアが出ますか？,YES
デアデビルのシーズン3はありますか？,YES
ニンヒドリンはタンパク質の有用な指標になり得るか,YES
水なしでカボチャを飲むのはダメですか？,No
王室には血友病がまだいますか,No
エージェント・オブ・シールドの新シーズンはありますか,YES
王を牽制することしかできませんか,YES
シェパーズパイは牛肉で作れますか,YES
5つ星の将軍のようなものはありますか,YES
脳の半分を切除して生きられるか,YES
イチジクのプリンのようなものはありますか,YES
新しいマクガイバーは古いマクガイバーの息子ですか,No
オリジナルのシーズン5はありますか,YES
ルール・オブ・エンゲージメントのシーズン8はありますか？,No
露出とシャッタースピードは同じですか,YES
海水と塩水は同じものですか,YES
tifファイルとtiffファイルには違いがありますか,No
中等教育は高校と同じですか,YES
ハリー・ポッター禁断の旅は逆さまになるのか,YES
メキシコシティにタコベルはありますか,No
フルハウスの双子のうちの一人は死んだのか,No
スパルタ人はトロイア戦争で戦いましたか,YES
彼らはティンカーベルの新しい映画を公開するのでしょうか？,No
パリの路上で飲酒するのは合法ですか,YES
女王はチェスの馬のように動けるだろうか,No
ロヨラ・シカゴとロヨラ・ニューオーリンズはつながっていますか,No
ボストン茶会事件はアメリカ革命につながりましたか,YES
彼ら/彼らは単数代名詞として使用できますか,YES
セレブクルーズとロイヤルカリビアンは同じ会社ですか,YES
1試合で6ゴールを決めた人はいますか,YES
キングサイズベッドにはさまざまな種類がありますか,YES
マストドンとケナガマンモスは同じものですか,No
ラスアルハイマに空港はありますか,YES
Reald 3Dを使用するにはメガネを着用する必要がありますか,YES
PS3でプレイステーション2のゲームをプレイできますか,YES
ホビットはロード・オブ・ザ・リングの前に登場しますか,YES
下院議長が大統領になったことがありますか,YES
米国には2018年のワールドカップに出場するチームがありますか,No
些細な追跡で真ん中を通り抜けることができますか,No
エホバという言葉は新約聖書に登場しますか,YES
1800年代に結核の治療法はありましたか,No
マイアミとマイアミビーチは同じ都市ですか,No
アン女王の復讐号は本物の船だったのか,YES
日本全国は同じタイムゾーンですか,YES
財務長官と米国財務長官は同じですか,No
火星人は最後には死ぬのか,YES
ブラックオプス3のストーリーはブラックオプス2につながっていますか,YES
追悼を禁じる弔辞は、講演者が死を迎えることを意味する,No
ncisロサンゼルスの新シーズンはありますか？,YES
ジャーマンシェパードとアルザシアンは同じ品種ですか,YES
胃の内出血で死ぬことはありますか,YES
「あなたのお母さんと出会ったきっかけ」のお母さんはヴィクトリアですか？,No
北朝鮮は国連に議席を持っていますか,YES
ネットフリックスのマルコ・ポーロのシーズン3はありますか？,No
全国労働関係法はまだ存在しますか,YES
「私はいつもあなたを愛します」はボビー・ブラウンのために書かれたものでしたか,No
ワンス・アポン・ア・タイムのシーズン6はありますか,YES
21歳未満でタバコを吸うことは違法ですか,No
Outlook は Microsoft Office Home and Student 2016 に含まれていますか,YES
Nintendo 64 のゲームはオーストラリアでも動作しますか?,No
多細胞生物のすべての細胞は同じ機能を持っていますか?,No
オークランドのハーバーブリッジには料金がかかりますか,No
米国男子チームはワールドカップへの出場権を獲得しましたか,No
白血球には核がありますか,YES
ハイジャンプで2フィートから飛び降りることはできますか,No
ルークとローレライはリバイバルで結婚しますか,YES
ミツバチが刺しても針が残らないことはありますか,YES
「虎の涙」という本は実話ですか,No
ヤンキースは2001年のワールドシリーズで優勝しましたか,No
レース4はありますか？,YES
議会は最高裁判所と同じですか,No
エレンとジョーはスーパーナチュラルで死ななかった？,YES
人間の目は暗闇の中で光を反射できますか,YES
EUパスポートのようなものはありますか,No
ジャグヘッドとベティは漫画で一緒になりますか？,No
北アメリカと南アメリカの間に道路はありますか,No
海の底に何かあったことはありますか,YES
オンタリオ州ではフロントナンバープレートが必要ですか?,YES
有毒な蝶のようなものはありますか,YES
Geicoを使用するには公務員である必要がありますか?,No
大統領には最高裁判事を罷免する権限があるのか,No
親トラップの双子は同一人物ですか,YES
これまでに200点を獲得したNBAチームはありますか,No
骨盤の骨は腰の骨と同じですか,YES
王はチェスで王を殺すことができるか,No
ジョージ・ワシントン橋には料金がかかりますか,YES
ノコギリ山にはハイイログマがいますか,No
グレイズ・アナトミーのシーズン14が最後ですか,No
ミドルネームは必要ですか,No
ホイール・オブ・フォーチュンでは母音ごとに支払いますか,YES
OK Google、イーグルスがスーパーボウルで優勝したことはありますか,YES
インドは東南アジアの一部ですか,No
これまでに複数の名誉メダルを受け取った人はいますか,YES
北朝鮮と韓国の言語は同じですか,No
アンディはネリーから仕事を取り戻しますか,YES
ソフトシェルクラブの殻は食べますか？,YES
ダイナーのドライブインとダイブはまだ稼働中ですか,YES
バットマン vs スーパーマンの後に続編はありますか,YES
ファンタスティック・ビーストとその本はどこにありますか,YES
ゴールキーパーはバロンドールを受賞したことがありますか,YES
中国は人口が3番目に多い国ですか,No
すべてのブレーカーはアーク障害でなければなりませんか,YES
ポーンを2番目のクイーンと交換できますか,YES
私たちは月面探査車を月に残しましたか,YES
ミスター・ピブとピブ・エクストラは同じですか,YES
フリーイワトビスイムクラブのシーズン3はありますか？,YES
モッキンバードを殺す映画はありますか,YES
センスと感性の続編はありますか？,No
アイアンフィストのシーズン2はありますか？,YES
暗黒時代は中世と同じですか,YES
彼らはデグラッシのシーズン5を作るのでしょうか？,YES
ジュラシックパークの新しい映画は公開されていますか,YES
夜の暑さでババはまだ生きていますか,YES
アトランタ・ファルコンズは新しいスタジアムを手に入れましたか,YES
死の治療の本でイモリは死んだの？,YES
塩化ナトリウムは食塩水と同じですか,No
バフィーは母親に自分が殺人者だと言ったことがありますか,YES
国王のスピーチはオスカーを受賞しましたか,YES
最高裁判事の数には憲法上の制限がありますか,No
12月にノースカロライナでは雪が降りますか,YES
ナイアガラの滝を越えて生き残った人はいますか,YES
警告チケットの料金を支払う必要がありますか,No
ワシの卵を割ることは違法ですか,YES
アシクロビルはヘルペス以外にも使用されますか,YES
ブルックリンナインナインのシーズン5はありますか？,YES
アメリカにフィッシュ＆チップスのお店はありますか,YES
ホッチの妻は犯罪者の心に殺されたのか,YES
チェスでポーンを後ろに動かすことはできますか,No
鎌を武器として使えますか,YES
TAになるには大学院生である必要がありますか?,No
円周率の最後の桁を見つけられますか,No
アイススケートリンクは寒いですか,YES
ジョージ・ブッシュ大統領のターンパイクは有料道路ですか,YES
イングランドはラグビーワールドカップで優勝したことがありますか,YES
コナーズという新しいテレビ番組はありますか,YES
アメリカは500ドル札を持っていますか,No
米国大統領は宣戦布告できますか,No
アメリカン・パパのシーズン16はあるでしょうか？,YES
ポケモン不思議のダンジョン 空の探検隊は時と闇と同じですか,No
最高裁判事の座を解任できるか,YES
ベルギーがワールドカップ決勝で勝ったことがありますか,No
ウィルとエマは大喜びで集まりますか,YES
外国生まれの人でも副大統領になれますか,No
米国で茶葉を栽培できますか,YES
グリーンオニキスというものはありますか？,YES
ベトナム戦争に対する議会の承認はありましたか,No
17歳も大人として裁かれるのか,YES
ポーンは駒を捕らえなければなりませんか,No
テキサス州議会議事堂は米国議会議事堂より高いですか,YES
北朝鮮には国連大使がいますか,YES
Xbox Live と Game Pass は同じですか,No
カナダから 866 番号に電話できますか,YES
シロナガスクジラとマッコウクジラは同じですか,No
中国はこれまでにワールドカップ出場権を獲得したことがありますか,YES
州はアメリカ合衆国から離脱できますか,No
三角形が複数の鈍角を持つことは可能ですか,No
お父さんの軍隊でまだ生きている俳優はいますか,YES
ディープウェブとダークウェブは同じものですか,No
これまでに無敗のNBAチームがあっただろうか,YES
ノートルダム大聖堂の黄金のドームは本物の金ですか,YES
僕のヒーローアカデミアのシーズン3はありますか？,YES
緑色の画面に青を着てもいいですか,YES
dhlとドイツポストは同じ会社ですか,YES
アラバマ州では車に拳銃を積んでも大丈夫ですか？,YES
ゴシップガールシーズン5でチャックは死ぬの？,No
万国博覧会はまだありますか,YES
虫とホタルの光は同じものですか,YES
ヴァンパイア・ダイアリーのシーズン8はありますか？,YES
あの日の遺跡はオスカー賞を受賞しましたか,No
イギリスにいるあなたの妹と結婚できますか,No
チャーリーとチョコレート工場はウィリー・ウォンカの続編ですか,No
ペンタトニックスの現在のメンバーはオリジナルのメンバーですか,No
ジョンウェイン空港はサンタアナ空港と同じですか,YES
普通のドミノでメキシコの列車をプレイできますか,YES
食料を得る権利は法的拘束力のある権利ですか,No
ロメインハツはロメインレタスと同じですか,YES
第一次世界大戦に徴兵はありましたか,YES
黄色の実線で車を追い越せますか,No
ゴールドフィンチと呼ばれる本物の絵はありますか,YES
イングランドとイギリスの違いはありますか,YES
夏季オリンピックでは冬季オリンピックよりも多くのスポーツが行われますか,YES
書面による陳述は法廷で使用できますか,YES
美女と野獣でダン・スティーヴンスが歌を歌っていましたか？,YES
アルコール耐性を高めることは可能ですか,YES
スタートレックのボイジャー、彼らは家に帰りますか,YES
蹄鉄で2点差で勝たなければなりませんか,YES
2ドル紙幣はまだ使えますか,YES
マリアナ海溝の底に行った人はいますか,YES
終身刑の人は仮釈放を受けられるのか,YES
ピート・キャンベルは自分に息子がいることを知りましたか,YES
エルサルバドルはワールドカップに出場したことがありますか,YES
ホンダのパイロットはフルサイズのSUVですか,No
海上保安学校にはサッカーチームがありますか,YES
MacBook Airにはミニディスプレイポートがありますか,YES
イタリアはユーロビジョン・ソング・コンテストで優勝したことがありますか,YES
なぜイタリアには首相と大統領が両方いるのか,YES
2017年にノーヒッターはありましたか,YES
赤と青のLED成長ライトは機能しますか,YES
サッカーのキックオフで得点できますか,YES
ピトル・パクシャで死ぬのは良いことですか？,No
損失水頭は摩擦損失と同じですか,YES
カナダでは16歳で結婚できますか,YES
2018年に公開される新しいハロウィーン映画はありますか,YES
第一次世界大戦後にフランスはアルザス・ロレーヌを取り戻しましたか,YES
正当防衛は英国を苦しめる防衛になり得るか,YES
ボストンにチアーズバーは本当にあるの？,YES
コーネリア号の船長マリーは亡くなったのか,YES
インフィニティ・ウォーのパート2は撮影されましたか,YES
アメリカ女子はワールドカップで優勝しましたか,YES
マーク・スローンはグレイの解剖学で死んだのか,YES
ヒマーチャル プラデーシュ州はウッタル プラデーシュ州と国境を接していますか,YES
北米とラテンアメリカは同じですか,No
3000安打を達成しても殿堂入りしていない人はいますか,YES
パワーマンとルーク・ケイジは同一人物ですか,YES
子育てシーズン7はあるのか,No
ワールドカップに銅メダルはありますか,YES
誰かにHIVを感染させたとして訴えられることはありますか,YES
リアル 3D 映画にはメガネが必要ですか,YES
1年以内に4大メジャーすべてで優勝したゴルファーはいますか,YES
ワールドシリーズで優勝していないチームはありますか,No
果樹の受粉にはミツバチが必要ですか,YES
スリランカに到着ビザはありますか,YES
メッツはポロ場でプレーしましたか,YES
インドネシアの文化に関連した木彫りはありますか,YES
女の子が色盲になることは不可能ですか,No
犬が死ぬのはウィン・ディクシーのせいですか,No
メキシコはワールドカップ決勝に進出しましたか,YES
アサシン クリード ローグは完全なゲームですか,YES
手足や口がかゆくなりますか,YES
アウトバーンには速度制限はありませんか,No
親指は球関節ですか,No
差出人住所なしで手紙を送ることは可能ですか,YES
ライン川とローヌ川は同じ川ですか,YES
湖に渦潮はありますか,YES
ノースカロライナ州の警察に身分証明書を提供する必要がありますか,No
iPad mini 2はiOS 10を入手できますか,YES
オステオパシー医学の医師はカナダで開業できますか,YES
テキサス州警察官は帽子をかぶる必要がありますか,YES
牛乳は母乳と同じですか,No
ツノメドリのオスとメスは同じに見えますか,YES
タンパとタンパベイは同じ場所ですか,No
ピューマとヒョウは同じものですか,YES
13 の理由のシーズン 3 はありますか?,YES
水を飲みすぎると死ぬことはありますか,YES
ALとNLがお互いにプレイしますか,YES
オンタリオ州では公共の場で飲酒することは違法ですか,YES
2つの子宮を持って生まれることは可能ですか,YES
修正第一条の信教の自由とは何ですか,YES
選挙人団を変更する修正案は提案されていますか,YES
胎嚢と卵黄嚢は同じですか,No
パトリシアという名前のハリケーンがあったことがありますか,YES
カリフォルニアで国内パートナーとして登録する必要がありますか?,YES
チャンピオンシップにゴールラインテクノロジーはありますか,YES
Appleの作者は大学に通っていましたか,YES
ささやくときに声帯を使いますか,No
リトルウィッチアカデミアはシーズン３になるのでしょうか？,No
ニューヨーク市から海が見えますか,YES
2018年にイギリスの選挙はありますか,YES
首相は国会議員である必要がありますか,No
なぜ籠の中の鳥が詩を歌うのか私は知っていますか,No
あなたが17歳なら未成年ですか,YES
ツインタワーはエンパイアステートビルより高いですか,YES
大学に行ったら徴兵されますか,YES
ギリシャ語のアルファベットに「ay」はありますか,No
映画「オペラ座の怪人」は何か賞を受賞しましたか,YES
パナマはワールドカップに出場したことがありますか,YES
スコットランドではまだ1ポンド紙幣を使用できますか,YES
アベンジャーズインフィニティウォーのパート2はありますか？,YES
セネカ滝で撮影された素晴らしい人生でしたか？,No
パスポートカードはカナダで使用できますか,YES
Xbox One はすべての Xbox 360 ゲームをプレイできますか,No
膨張中に気体にエネルギーが加えられなかった場合、圧力は一定に保たれるでしょうか,No
ジェームスタウンのシーズン2はありますか？,YES
カナダ人はアメリカ合衆国大統領になれるでしょうか,No
アイスホッケーで戦うことは合法ですか,YES
ケーニヒスベルクの7つの橋に解決策はあるのか,No
デアデビルシーズン3はあるの？,YES
サービスの料金を支払わないのは違法ですか,YES
トムはリックの家で火を起こしましたか,No
土曜の夜のテイクアウト、これが最後のシリーズですか,No
フィフティ・シェイズ・フリードはハッピーエンドですか？,YES
人は水の多すぎで死ぬことができますか,YES
ランダム血糖検査のために絶食する必要がありますか,No
光の反応は暗闇の中でも起こりますか,No
人は同じ罪で二度起訴されることができますか,No
平和債は犯罪歴調査で判明しますか,No
細菌が自然に遺伝子変換を受けることは可能ですか,YES
スター・ウォーズ 反乱者たち シーズン4がラストシーズンですか,YES
ヨーロッパリーグで優勝するとチャンピオンズリーグへの出場資格が得られますか,YES
心臓の右側は酸素を含んだ血液を運びますか,YES
ブラックパンサーとストームには子供がいますか,No
フェズは自分の出身地を言ったことはありますか,No
サウスダコタに軍事基地はありますか,YES
赤毛のアンでアンはギルバートと結婚しますか,YES
イギリスにダマートショップはありますか,YES
オレンジ・イズ・ザ・ニュー・ブラック シーズン2 アレックスは戻ってくるのか,YES
ワシントン・キャピタルズは決勝に進出したことがありますか,YES
社会保障番号は社会保険番号と同じですか,No
偽の住所を使用することは違法ですか,YES
一連の不幸な出来事を描いた映画はありますか,YES
ビージーズのメンバーでまだ生きている人はいますか？,YES
ガンショーでは身分証明書が必要ですか,No
マルコ・ポーロのシーズン3はありますか？,No
天然ガス車にレギュラーガソリンを入れられますか,YES
ニューハンプシャー州で銃を所持することは合法ですか,YES
申し訳ありませんが、自分のプレーヤーをジャンプしてもらえますか,YES
PS4でベンディ・アンド・ザ・インク・マシンをプレイできますか,No
微生物研究室で入手可能な染料をネガティブ染色のニグロシンの代わりに使用できますか?,No
三角形が2つの鈍角を持つことは可能ですか,No
メトロ ラスト ライトはメトロ 2033 の続編ですか,YES
日本ではいとこと結婚するのは合法ですか,YES
州および連邦レベルの地方裁判所はありますか,No
ブレア・ウォルドーフはシーズン5で本当に妊娠しているのか？,YES
北キプロスへのビザが必要ですか,No
ベルギーはワールドカップ決勝に進出したことがありますか,No
絶縁テープは絶縁テープと同じですか,YES
2018年7月27日に月食はありますか,YES
シボレー・クイノックスは中型SUVですか,No
多面体は 3 つの面、4 つの頂点、7 つの辺を持つことができますか,No
ショーズマーケットとスターマーケットは同じですか,No
アンコウのオスとメスは融合しますか,YES
カリフォルニアにはもうグリズリーベアがいますか,No
損益計算書と損益計算書は同じですか,YES
ソロモンはゆりかごを揺さぶる手の中で死んだのか,No
モンクは妻の事件を解決したことがありますか,YES
2ドル紙幣はまだ流通していますか,YES
映画「ザ・ウォール」は実話ですか,No
テキサス州の死刑囚は最後の食事をとれるのか,No
他の国にも米国に大使館がありますか,YES
デラウェア州で花火を撃つことは合法ですか,No
ダラス・マーベリックスが優勝したことがありますか,YES
ブルーブラッドのシーズン8はありますか？,YES
平行線は互いに重なり合うことができますか,No
